Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,abs_logFC,significance_p,neg_log10_p,abs_logFC_scaled,neg_log10_p_scaled,literature_mentions_scaled,document_occurrences_scaled,cooccurrence_score_scaled,gene_evidence_score,rank
LRP8,2.758,1.08e-47,0,0,0,LDL receptor related protein 8,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,2.758,1.08e-47,46.96657624451305,0.13644556596971885,0.28173602642480045,0.0,0.0,0.0,0.09772311980014388,92
TMEM86A,2.761,1.66e-47,0,0,0,transmembrane protein 86A,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.761,1.66e-47,46.77989191195994,0.13698630136986306,0.2804937347678386,0.0,0.0,0.0,0.09752069396593227,93
PRSS3,2.845,2.06e-45,0,0,0,serine protease 3,Extracellular Space,peptidase,,,,,,,,,,,,,,,2.845,2.06e-45,44.686132779630846,0.1521268925739005,0.2665608060308212,0.0,0.0,0.0,0.0970655800224854,94
STC1,-3.796,1.2699999999999999e-24,0,0,0,stanniocalcin 1,Extracellular Space,kinase,,,,,,,,,,,,,,,3.796,1.2699999999999999e-24,23.896196279044045,0.3235400144196106,0.12821408828417657,0.0,0.0,0.0,0.09676152495496627,95
TGM3,3.299,2.4100000000000004e-35,0,0,0,transglutaminase 3,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.299,2.4100000000000004e-35,34.617982957425134,0.23395818312905553,0.19956226172818184,0.0,0.0,0.0,0.09668220205785658,96
SIK1,-3.214,5.6e-37,0,0,0,salt inducible kinase 1,Cytoplasm,kinase,,,,,,,,,,,,,,,3.214,5.6e-37,36.2518119729938,0.21863734679163666,0.21043458361607104,0.0,0.0,0.0,0.09633611526234509,97
RNASE7,3.868,1.47e-22,0,0,0,ribonuclease A family member 7,Extracellular Space,enzyme,,,,,,,,,,,,,,,3.868,1.47e-22,21.832682665251824,0.3365176640230713,0.11448242847436363,0.0,0.0,0.0,0.09592413992320517,98
RTP4,3.407,1.6100000000000002e-32,0,0,0,receptor transporter protein 4,Plasma Membrane,other,,,,,,,,,,,,,,,3.407,1.6100000000000002e-32,31.79317412396815,0.25342465753424653,0.1807645597554283,0.0,0.0,0.0,0.09587607144570638,99
PPARGC1A,-3.321,3.96e-34,0,0,0,PPARG coactivator 1 alpha,Nucleus,transcription regulator,,,,,,,,,,,,,,,3.321,3.96e-34,33.40230481407449,0.23792357606344633,0.19147252653518837,0.0,0.0,0.0,0.09545284684648636,100
NR4A1,-3.048,1.42e-39,0,0,0,nuclear receptor subfamily 4 group A member 1,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,,3.048,1.42e-39,38.84771165561694,0.18871665465032444,0.22770900870536032,0.0,0.0,0.0,0.09467058310640497,101
CD24P4,3.335,4.560000000000001e-33,0,0,0,CD24 molecule pseudogene 4,Plasma Membrane,other,,,,,,,,,,,,,,,3.335,4.560000000000001e-33,32.34103515733557,0.24044700793078583,0.18441030324990831,0.0,0.0,0.0,0.09419197739863425,102
VNN3P,3.484,1.2400000000000001e-29,0,0,0,"vanin 3, pseudogene",Extracellular Space,enzyme,,,,,,,,,,,,,,,3.484,1.2400000000000001e-29,28.906578314837766,0.2673035328046142,0.16155569609953704,0.0,0.0,0.0,0.09384963058580711,103
VNN1,3.457,7.83e-30,0,0,0,vanin 1,Plasma Membrane,enzyme,,,,,,,,,,,,,,,3.457,7.83e-30,29.10623823794206,0.26243691420331644,0.16288433387706208,0.0,0.0,0.0,0.09320846630992881,104
ACVR1C,-3.952,5.39e-19,0,0,0,activin A receptor type 1C,Plasma Membrane,kinase,,,,,,,,,,,,,,,3.952,5.39e-19,18.26841123481326,0.35165825522710886,0.09076396961589646,0.0,0.0,0.0,0.09302264344939588,105
CD47,2.228,2.86e-56,0,0,0,CD47 molecule,Plasma Membrane,other,,,,,,,,,,,,,,,2.228,2.86e-56,55.543633966870956,0.04091564527757757,0.338812092230881,0.0,0.0,0.0,0.09288615211323577,106
IFI6,3.741,2.02e-23,0,0,0,interferon alpha inducible protein 6,Cytoplasm,other,,,,,,,,,,,,,,,3.741,2.02e-23,22.694648630553377,0.3136265320836337,0.12021838452720787,0.0,0.0,0.0,0.09277990254852872,107
CYSRT1,2.519,7.56e-50,0,0,0,cysteine rich tail 1,Cytoplasm,other,,,,,,,,,,,,,,,2.519,7.56e-50,49.12147820449879,0.09336697909156455,0.29607583035933505,0.0,0.0,0.0,0.09269235340814667,108
LYZ,3.928,1.23e-18,0,0,0,lysozyme,Extracellular Space,enzyme,,,,,,,,,,,,,,,3.928,1.23e-18,17.910094888560604,0.3473323720259553,0.08837955201954516,0.0,0.0,0.0,0.09156136241007735,109
ACP3,2.635,2.37e-46,0,0,0,acid phosphatase 3,Extracellular Space,phosphatase,,,,,,,,,,,,,,,2.635,2.37e-46,45.6252516539899,0.11427541456380674,0.27281017643355576,0.0,0.0,0.0,0.09105762702115029,110
SLC5A1,3.142,1.9399999999999997e-34,0,0,0,solute carrier family 5 member 1,Plasma Membrane,transporter,,,,,,,,,,,,,,,3.142,1.9399999999999997e-34,33.71219827006978,0.20565969718817595,0.19353471380963735,0.0,0.0,0.0,0.08951561789004453,111
HAL,3.018,7.36e-37,0,0,0,histidine ammonia-lyase,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.018,7.36e-37,36.1331221856625,0.18330930064888246,0.20964476193927714,0.0,0.0,0.0,0.08907305061459578,112
SLC6A14,3.197,2.14e-32,0,0,0,solute carrier family 6 member 14,Plasma Membrane,transporter,,,,,,,,,,,,,,,3.197,2.14e-32,31.66958622665081,0.21557317952415284,0.17994214358563476,0.0,0.0,0.0,0.08810017180123926,113
S100A7,3.705,2.7800000000000007e-21,0,0,0,S100 calcium binding protein A7,Cytoplasm,other,,,,,,,,,,,,,,,3.705,2.7800000000000007e-21,20.555955204081922,0.3071377072819034,0.10598644034544957,0.0,0.0,0.0,0.08792415154274308,114
IFIT3,2.937,1.14e-37,0,0,0,interferon induced protein with tetratricopeptide repeats 3,Cytoplasm,other,,,,,,,,,,,,,,,2.937,1.14e-37,36.94309514866353,0.16870944484498912,0.21503473034497927,0.0,0.0,0.0,0.08750057155524264,115
NR1D1,-3.56,3.97e-24,0,0,0,nuclear receptor subfamily 1 group D member 1,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,,3.56,3.97e-24,23.401209493236884,0.2810021629416006,0.12492019668703538,0.0,0.0,0.0,0.08743048176007896,116
TMPRSS4,3.162,3.21e-32,0,0,0,transmembrane serine protease 4,Extracellular Space,peptidase,,,,,,,,,,,,,,,3.162,3.21e-32,31.49349496759513,0.20926459985580387,0.17877034357972613,0.0,0.0,0.0,0.0865455058660923,117
TIAM2,-2.634,1.23e-43,0,0,0,TIAM Rac1 associated GEF 2,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.634,1.23e-43,42.9100948885606,0.11409516943042536,0.25474215459740746,0.0,0.0,0.0,0.08650457253543693,118
TMEM45B,2.659,6.5400000000000004e-43,0,0,0,transmembrane protein 45B,Extracellular Space,other,,,,,,,,,,,,,,,2.659,6.5400000000000004e-43,42.184422251675734,0.11860129776496031,0.2499131630577392,0.0,0.0,0.0,0.08619855031742686,119
CARHSP1,2.755,2.6399999999999998e-40,0,0,0,calcium regulated heat stable protein 1,Cytoplasm,transcription regulator,,,,,,,,,,,,,,,2.755,2.6399999999999998e-40,39.57839607313017,0.1359048305695746,0.23257135115978395,0.0,0.0,0.0,0.0853238039038609,120
CCN1,-3.396,2.69e-26,0,0,0,cellular communication network factor 1,Extracellular Space,other,,,,,,,,,,,,,,,3.396,2.69e-26,25.570247719997592,0.25144196106705113,0.13935407046682668,0.0,0.0,0.0,0.08512690983011689,121
SERPINB13,3.492,5.39e-24,0,0,0,serpin family B member 13,Cytoplasm,other,,,,,,,,,,,,,,,3.492,5.39e-24,23.26841123481326,0.2687454938716654,0.12403649013146892,0.0,0.0,0.0,0.08475822130720032,122
PPP1R1A,-3.77,7.57e-18,0,0,0,protein phosphatase 1 regulatory inhibitor subunit 1A,Cytoplasm,phosphatase,,,,,,,,,,,,,,,3.77,7.57e-18,17.120904120499926,0.3188536409516943,0.08312787881534531,0.0,0.0,0.0,0.08455269789417519,123
RRM2,3.12,7.1e-32,0,0,0,ribonucleotide reductase regulatory subunit M2,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.12,7.1e-32,31.148741651280925,0.20169430425378515,0.17647618122175093,0.0,0.0,0.0,0.08445790615619476,124
SLC26A9,3.21,1.0100000000000001e-29,0,0,0,solute carrier family 26 member 9,Plasma Membrane,transporter,,,,,,,,,,,,,,,3.21,1.0100000000000001e-29,28.99567862621736,0.217916366258111,0.16214861448720133,0.0,0.0,0.0,0.08412042687342253,125
NDC80,2.545,6.11e-44,0,0,0,NDC80 kinetochore complex component,Nucleus,other,,,,,,,,,,,,,,,2.545,6.11e-44,43.21395878975745,0.09805335255948089,0.25676421817471023,0.0,0.0,0.0,0.08380172505557373,126
PARP9,2.662,3.29e-41,0,0,0,poly(ADP-ribose) polymerase family member 9,Nucleus,enzyme,,,,,,,,,,,,,,,2.662,3.29e-41,40.482804102050025,0.11914203316510452,0.23858973809912082,0.0,0.0,0.0,0.08347584115780111,127
LPL,-3.814,3.67e-16,0,0,0,lipoprotein lipase,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.814,3.67e-16,15.435333935747911,0.32678442682047587,0.07191124510482556,0.0,0.0,0.0,0.08333469664030156,128
SPRR1B,2.921,1.64e-35,0,0,0,small proline rich protein 1B,Cytoplasm,other,,,,,,,,,,,,,,,2.921,1.64e-35,34.7851561519523,0.16582552271088674,0.20067471643709364,0.0,0.0,0.0,0.08333378365145076,129
TLCD4,-3.359,5.36e-26,0,0,0,TLC domain containing 4,Other,other,,,,,,,,,,,,,,,3.359,5.36e-26,25.27083521030723,0.2447728911319394,0.13736162869256838,0.0,0.0,0.0,0.08329498539952998,130
ATF3,-3.475,2.09e-23,0,0,0,activating transcription factor 3,Nucleus,transcription regulator,,,,,,,,,,,,,,,3.475,2.09e-23,22.679853713888946,0.2656813266041817,0.12011993169355917,0.0,0.0,0.0,0.08316624824422614,131
RHOB,-2.706,4.64e-40,0,0,0,ras homolog family member B,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.706,4.64e-40,39.33348201944512,0.12707281903388606,0.23094156958462642,0.0,0.0,0.0,0.08314995620293382,132
CCNB1,3.005,1.77e-33,0,0,0,cyclin B1,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.005,1.77e-33,32.752026733638196,0.1809661139149243,0.18714524838075963,0.0,0.0,0.0,0.08297953487817478,133
DLGAP5,2.945,1.0599999999999999e-34,0,0,0,DLG associated protein 5,Nucleus,other,,,,,,,,,,,,,,,2.945,1.0599999999999999e-34,33.97469413473523,0.1701514059120403,0.19528149361810418,0.0,0.0,0.0,0.08285065458693411,134
OTUB2,2.823,1.28e-36,0,0,0,"OTU deubiquitinase, ubiquitin aldehyde binding 2",Nucleus,enzyme,,,,,,,,,,,,,,,2.823,1.28e-36,35.89279003035213,0.1481614996395097,0.20804547062565393,0.0,0.0,0.0,0.08164366758431542,135
CHAC2,2.534,1.31e-42,0,0,0,ChaC glutathione specific gamma-glutamylcyclotransferase 2,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.534,1.31e-42,41.88272870434424,0.09607065609228549,0.24790554210913857,0.0,0.0,0.0,0.08119051674574174,136
HSD3B1,-3.592,1.33e-19,0,0,0,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",Cytoplasm,enzyme,,,,,,,,,,,,,,,3.592,1.33e-19,18.876148359032914,0.28677000720980533,0.09480815880263116,0.0,0.0,0.0,0.08105604114261886,137
PDZK1IP1,2.665,1.91e-39,0,0,0,PDZK1 interacting protein 1,Extracellular Space,other,,,,,,,,,,,,,,,2.665,1.91e-39,38.71896663275227,0.11968276856524873,0.22685227442245182,0.0,0.0,0.0,0.0806496223186627,138
APOLD1,-3.277,5.04e-26,0,0,0,apolipoprotein L domain containing 1,Cytoplasm,other,,,,,,,,,,,,,,,3.277,5.04e-26,25.297569463554474,0.22999279019466473,0.13753953189049586,0.0,0.0,0.0,0.08038344101155692,139
SAMD9,2.946,4.3e-33,0,0,0,sterile alpha motif domain containing 9,Cytoplasm,other,,,,,,,,,,,,,,,2.946,4.3e-33,32.36653154442041,0.17033165104542186,0.184579969062379,0.0,0.0,0.0,0.08021132247467913,140
PPFIBP1,-2.607,5.8e-40,0,0,0,PPFIA binding protein 1,Plasma Membrane,other,,,,,,,,,,,,,,,2.607,5.8e-40,39.236572006437065,0.10922855082912764,0.23029668150543142,0.0,0.0,0.0,0.07941988054218338,141
KLF2,-2.59,3.58e-40,0,0,0,KLF transcription factor 2,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.59,3.58e-40,39.446116973356126,0.10616438356164382,0.2316910993475813,0.0,0.0,0.0,0.07915565154922409,142
PCLAF,3.057,5.54e-30,0,0,0,PCNA clamp associated factor,Nucleus,other,,,,,,,,,,,,,,,3.057,5.54e-30,29.25649023527157,0.19033886085075707,0.16388418640979246,0.0,0.0,0.0,0.07903881877259954,143
WFDC3,-3.237,7.030000000000001e-26,0,0,0,WAP four-disulfide core domain 3,Extracellular Space,other,,,,,,,,,,,,,,,3.237,7.030000000000001e-26,25.153044674980176,0.22278298485940878,0.13657779109192644,0.0,0.0,0.0,0.07870104474486336,144
EGR1,-3.233,6.29e-26,0,0,0,early growth response 1,Nucleus,transcription regulator,,,,,,,,,,,,,,,3.233,6.29e-26,25.201349354554733,0.22206200432588324,0.13689923478035496,0.0,0.0,0.0,0.07863720956026539,145
DSC2,3.515,8.77e-20,0,0,0,desmocollin 2,Plasma Membrane,other,,,,,,,,,,,,,,,3.515,8.77e-20,19.05700040663396,0.27289113193943765,0.09601163949544897,0.0,0.0,0.0,0.07858113626174978,146
PPP1R1B,-3.278,6.6499999999999995e-25,0,0,0,protein phosphatase 1 regulatory inhibitor subunit 1B,Cytoplasm,phosphatase,,,,,,,,,,,,,,,3.278,6.6499999999999995e-25,24.177178354696895,0.23017303532804617,0.1300838846595101,0.0,0.0,0.0,0.07855557823048676,147
GZMB,3.21,5.33e-26,0,0,0,granzyme B,Cytoplasm,peptidase,,,,,,,,,,,,,,,3.21,5.33e-26,25.27327279097343,0.217916366258111,0.13737784958311328,0.0,0.0,0.0,0.07792773564740052,148
RGPD5,-2.627,1.87e-37,0,0,0,RANBP2 like and GRIP domain containing 5,Nucleus,other,,,,,,,,,,,,,,,2.627,1.87e-37,36.7281583934635,0.11283345349675555,0.21360443282559058,0.0,0.0,0.0,0.07596779890574876,149
SLAMF7,2.684,3.34e-36,0,0,0,SLAM family member 7,Plasma Membrane,other,,,,,,,,,,,,,,,2.684,3.34e-36,35.476253533188434,0.12310742609949538,0.20527362679618116,0.0,0.0,0.0,0.07593989191894437,150
DEPP1,-3.463,6.58e-19,0,0,0,DEPP autophagy regulator 1,Cytoplasm,other,,,,,,,,,,,,,,,3.463,6.58e-19,18.181774106386044,0.26351838500360497,0.09018744248929549,0.0,0.0,0.0,0.07525053762304487,151
APOBEC3B,2.967,1.9400000000000002e-29,0,0,0,apolipoprotein B mRNA editing enzyme catalytic subunit 3B,Nucleus,enzyme,,,,,,,,,,,,,,,2.967,1.9400000000000002e-29,28.712198270069774,0.17411679884643122,0.16026219329406485,0.0,0.0,0.0,0.07488890809280246,152
PDK4,-3.344,9.17e-21,0,0,0,pyruvate dehydrogenase kinase 4,Cytoplasm,kinase,,,,,,,,,,,,,,,3.344,9.17e-21,20.037630664329978,0.24206921413121846,0.10253724756892535,0.0,0.0,0.0,0.07404815471847503,153
MKI67,2.774,6.57e-33,0,0,0,marker of proliferation Ki-67,Nucleus,other,,,,,,,,,,,,,,,2.774,6.57e-33,32.18243463044022,0.13932948810382123,0.1833548953929271,0.0,0.0,0.0,0.07370462146899602,154
CYP4F22,2.478,1.19e-38,0,0,0,cytochrome P450 family 4 subfamily F member 22,Extracellular Space,enzyme,,,,,,,,,,,,,,,2.478,1.19e-38,37.92445303860747,0.08597692862292722,0.221565180450235,0.0,0.0,0.0,0.07258668083714419,155
ARSF,2.847,2.02e-30,0,0,0,arylsulfatase F,Extracellular Space,enzyme,,,,,,,,,,,,,,,2.847,2.02e-30,29.694648630553377,0.15248738284066327,0.1667999132490093,0.0,0.0,0.0,0.07219745488038498,156
POLE2,2.094,1e-46,0,0,0,"DNA polymerase epsilon 2, accessory subunit",Nucleus,enzyme,,,,,,,,,,,,,,,2.094,1e-46,46.0,0.016762797404470064,0.2753039408397154,0.0,0.0,0.0,0.07217854469082285,157
KLHDC7B,3.314,3.09e-20,0,0,0,kelch domain containing 7B,Other,other,,,,,,,,,,,,,,,3.314,3.09e-20,19.510041520575164,0.23666186012977647,0.09902640344705027,0.0,0.0,0.0,0.07208897288771787,158
CYP4F8,-3.154,8.67e-23,0,0,0,cytochrome P450 family 4 subfamily F member 8,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.154,8.67e-23,22.06198090252379,0.20782263878875268,0.11600829453512684,0.0,0.0,0.0,0.07056660139153226,159
CENPN,2.455,6.749999999999999e-38,0,0,0,centromere protein N,Nucleus,other,,,,,,,,,,,,,,,2.455,6.749999999999999e-38,37.170696227168975,0.08183129055515503,0.21654930265576705,0.0,0.0,0.0,0.07050358377497278,160
APOBEC3A,3.461,4.34e-16,0,0,0,apolipoprotein B mRNA editing enzyme catalytic subunit 3A,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.461,4.34e-16,15.362510270487489,0.2631578947368421,0.07142663972554625,0.0,0.0,0.0,0.07048823887875498,161
SLC2A3,-2.879,1.38e-28,0,0,0,solute carrier family 2 member 3,Plasma Membrane,transporter,,,,,,,,,,,,,,,2.879,1.38e-28,27.860120913598763,0.15825522710886802,0.15459204102925758,0.0,0.0,0.0,0.07029905567908801,162
BIRC5,2.62,3.4599999999999998e-34,0,0,0,baculoviral IAP repeat containing 5,Cytoplasm,other,,,,,,,,,,,,,,,2.62,3.4599999999999998e-34,33.460923901207224,0.1115717375630858,0.19186260749103398,0.0,0.0,0.0,0.07027999938537566,163
HSD11B1,-2.905,1.46e-27,0,0,0,hydroxysteroid 11-beta dehydrogenase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.905,1.46e-27,26.835647144215564,0.16294160057678436,0.1477746761273639,0.0,0.0,0.0,0.06953198914719785,164
MTFR2,2.389,1.0299999999999999e-38,0,0,0,mitochondrial fission regulator 2,Cytoplasm,other,,,,,,,,,,,,,,,2.389,1.0299999999999999e-38,37.98716277529483,0.06993511175198269,0.22198248265032627,0.0,0.0,0.0,0.0694826430129781,165
CDKN3,2.815,2.0000000000000002e-29,0,0,0,cyclin dependent kinase inhibitor 3,Cytoplasm,phosphatase,,,,,,,,,,,,,,,2.815,2.0000000000000002e-29,28.69897000433602,0.1467195385724585,0.1601741657454625,0.0,0.0,0.0,0.06938744915085733,166
SCGB1D2,-3.613,7.08e-12,0,0,0,secretoglobin family 1D member 2,Extracellular Space,other,,,,,,,,,,,,,,,3.613,7.08e-12,11.14996674231023,0.2905551550108147,0.04339425153274229,0.0,0.0,0.0,0.06895959388534852,167
WDR72,-3.134,3.98e-22,0,0,0,WD repeat domain 72,Cytoplasm,other,,,,,,,,,,,,,,,3.134,3.98e-22,21.400116927926312,0.20421773612112476,0.11160391800046426,0.0,0.0,0.0,0.06874452672434102,168
LTF,3.551,5.43e-13,0,0,0,lactotransferrin,Extracellular Space,other,,,,,,,,,,,,,,,3.551,5.43e-13,12.265200170411154,0.27937995674116806,0.05081557695597032,0.0,0.0,0.0,0.06857988558722619,169
GADD45B,-2.752,2.97e-30,0,0,0,growth arrest and DNA damage inducible beta,Cytoplasm,other,,,,,,,,,,,,,,,2.752,2.97e-30,29.527243550682787,0.13536409516943038,0.16568591545812827,0.0,0.0,0.0,0.06849429789841814,170
BCAR3,-2.259,8.74e-41,0,0,0,"BCAR3 adaptor protein, NSP family member",Cytoplasm,other,,,,,,,,,,,,,,,2.259,8.74e-41,40.0584885673656,0.046503244412400835,0.2357661286325481,0.0,0.0,0.0,0.06824218104061719,171
HES1,-2.39,6.9e-38,0,0,0,hes family bHLH transcription factor 1,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.39,6.9e-38,37.161150909262744,0.07011535688536413,0.2164857832985945,0.0,0.0,0.0,0.06814451720172145,172
ATP6V0A4,-2.845,6.4000000000000005e-28,0,0,0,ATPase H+ transporting V0 subunit a4,Cytoplasm,transporter,,,,,,,,,,,,,,,2.845,6.4000000000000005e-28,27.193820026016112,0.1521268925739005,0.15015813903893,0.0,0.0,0.0,0.0679649132745126,173
YIF1B,2.643,3.32e-32,0,0,0,"Yip1 interacting factor homolog B, membrane trafficking protein",Cytoplasm,other,,,,,,,,,,,,,,,2.643,3.32e-32,31.478861916295962,0.11571737563085793,0.17867296787981474,0.0,0.0,0.0,0.06781171709612527,174
CD2,3.122,9.020000000000001e-22,0,0,0,CD2 molecule,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,,3.122,9.020000000000001e-22,21.04479346245806,0.20205479452054792,0.10923941654157293,0.0,0.0,0.0,0.06772081303950282,175
NLRX1,2.537,2.33e-34,0,0,0,NLR family member X1,Cytoplasm,other,,,,,,,,,,,,,,,2.537,2.33e-34,33.63264407897398,0.0966113914924297,0.1930053201185704,0.0,0.0,0.0,0.06757360832812855,176
TTC39A,2.445,3.71e-36,0,0,0,tetratricopeptide repeat domain 39A,Cytoplasm,other,,,,,,,,,,,,,,,2.445,3.71e-36,35.430626090384955,0.08002883922134102,0.20496999879083078,0.0,0.0,0.0,0.0672482675419759,177
KRT9,3.411,5.1e-15,0,0,0,keratin 9,Cytoplasm,other,,,,,,,,,,,,,,,3.411,5.1e-15,14.292429823902063,0.2541456380677722,0.06430578500308096,0.0,0.0,0.0,0.06690557386432468,178
PRSS3P1,2.224,1.85e-40,0,0,0,PRSS3 pseudogene 1,Other,other,,,,,,,,,,,,,,,2.224,1.85e-40,39.732828271596986,0.04019466474405198,0.2335990208581344,0.0,0.0,0.0,0.06643868816334399,179
CHAC1,3.092,1.3300000000000001e-21,0,0,0,ChaC glutathione specific gamma-glutamylcyclotransferase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.092,1.3300000000000001e-21,20.876148359032914,0.19664744051910604,0.10811716700886012,0.0,0.0,0.0,0.06635877985603625,180
SERHL2,-3.312,1.46e-16,0,0,0,serine hydrolase like 2,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.312,1.46e-16,15.835647144215564,0.2363013698630137,0.07457513099310449,0.0,0.0,0.0,0.06590405672087886,181
FAM43A,2.168,3.08e-41,0,0,0,family with sequence similarity 43 member A,Other,other,,,,,,,,,,,,,,,2.168,3.08e-41,40.51144928349956,0.030100937274693595,0.2387803575766112,0.0,0.0,0.0,0.06571527684909152,182
ZSCAN18,-2.204,2.21e-40,0,0,0,zinc finger and SCAN domain containing 18,Other,other,,,,,,,,,,,,,,,2.204,2.21e-40,39.65560772631489,0.036589762076424004,0.23308515642270994,0.0,0.0,0.0,0.06558924152096228,183
CCL18,3.482,2.24e-12,0,0,0,C-C motif chemokine ligand 18,Extracellular Space,cytokine,,,,,,,,,,,,,,,3.482,2.24e-12,11.649751981665837,0.26694304253785156,0.04672007445871022,0.0,0.0,0.0,0.06506862712224787,184
BTC,-3.409,6.06e-14,0,0,0,betacellulin,Extracellular Space,growth factor,,,,,,,,,,,,,,,3.409,6.06e-14,13.217527375833713,0.2537851478010093,0.05715284225196231,0.0,0.0,0.0,0.06504524012319245,185
GPD1,-3.352,5.23e-15,0,0,0,glycerol-3-phosphate dehydrogenase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,3.352,5.23e-15,14.281498311132726,0.24351117519826965,0.06423304120650415,0.0,0.0,0.0,0.06476049534127996,186
FNBP1L,-2.077,2.52e-42,0,0,0,formin binding protein 1 like,Cytoplasm,other,,,,,,,,,,,,,,,2.077,2.52e-42,41.598599459218455,0.0136986301369863,0.24601480288163424,0.0,0.0,0.0,0.06424342674780582,187
KLK10,2.644,7.86e-30,0,0,0,kallikrein related peptidase 10,Extracellular Space,peptidase,,,,,,,,,,,,,,,2.644,7.86e-30,29.10457745396059,0.11589762076423937,0.162873282183243,0.0,0.0,0.0,0.06389784469865863,188
IL19,3.337,8.47e-15,0,0,0,interleukin 19,Extracellular Space,cytokine,,,,,,,,,,,,,,,3.337,8.47e-15,14.072116589669292,0.2408074981975487,0.06283970968190855,0.0,0.0,0.0,0.06387142705998688,189
RASD1,-2.528,5.330000000000001e-32,0,0,0,ras related dexamethasone induced 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.528,5.330000000000001e-32,31.27327279097343,0.09498918529199712,0.17730487420180022,0.0,0.0,0.0,0.06332405560884949,190
KRT7,-3.222,6.86e-17,0,0,0,keratin 7,Cytoplasm,other,,,,,,,,,,,,,,,3.222,6.86e-17,16.163675884293248,0.22007930785868784,0.07675799958989092,0.0,0.0,0.0,0.0632053614692103,191
RBP4,-3.511,2.33e-10,0,0,0,retinol binding protein 4,Extracellular Space,other,,,,,,,,,,,,,,,3.511,2.33e-10,9.63264407897398,0.2721701514059121,0.03329722164382261,0.0,0.0,0.0,0.06275833569213808,192
CD24,2.178,6.49e-39,0,0,0,CD24 molecule,Plasma Membrane,other,,,,,,,,,,,,,,,2.178,6.49e-39,38.18775530319963,0.031903388608507555,0.22331732645032287,0.0,0.0,0.0,0.06221000933428223,193
HSD17B1,2.462,1.14e-32,0,0,0,hydroxysteroid 17-beta dehydrogenase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,,2.462,1.14e-32,31.943095148663527,0.08309300648882484,0.1817622098294068,0.0,0.0,0.0,0.06205915375511667,194
TYMS,2.623,3.59e-29,0,0,0,thymidylate synthetase,Nucleus,enzyme,,,,,,,,,,,,,,,2.623,3.59e-29,28.44490555142168,0.11211247296323001,0.1584834928010885,0.0,0.0,0.0,0.06204336779291813,195
PRSS53,2.948,4.8e-22,0,0,0,serine protease 53,Other,other,,,,,,,,,,,,,,,2.948,4.8e-22,21.318758762624412,0.17069214131218452,0.11106251975564091,0.0,0.0,0.0,0.06190405820134713,196
TRIP13,2.422,3.1e-33,0,0,0,thyroid hormone receptor interactor 13,Cytoplasm,transcription regulator,,,,,,,,,,,,,,,2.422,3.1e-33,32.50863830616573,0.07588320115356889,0.18552561909149354,0.0,0.0,0.0,0.061558045003587164,197
ZFP36,-2.689,2e-27,0,0,0,ZFP36 ring finger protein,Nucleus,transcription regulator,,,,,,,,,,,,,,,2.689,2e-27,26.69897000433602,0.1240086517664023,0.14686515753923352,0.0,0.0,0.0,0.06151801973808884,198
BCL2A1,2.582,9.73e-30,0,0,0,BCL2 related protein A1,Cytoplasm,other,,,,,,,,,,,,,,,2.582,9.73e-30,29.011887159731646,0.10472242249459263,0.16225647423997763,0.0,0.0,0.0,0.06150860305891294,199
FAM13A,-2.295,6.81e-36,0,0,0,family with sequence similarity 13 member A,Cytoplasm,other,,,,,,,,,,,,,,,2.295,6.81e-36,35.16685288808721,0.05299206921413124,0.20321471893384882,0.0,0.0,0.0,0.06140209357628845,200
